player_id,player_name,team
1631111,Wendell Moore Jr.,Hornets
1629630,Ja Morant,Grizzlies
202693,Markieff Morris,Lakers
1628420,Monté Morris,Suns
1630530,Trey Murphy III,Pelicans
1627749,Dejounte Murray,Pelicans
1627750,Jamal Murray,Nuggets
1631099,Keegan Murray,Kings
1631200,Kris Murray,Blazers
1629004,Svi Mykhailiuk,Jazz
1631250,Pete Nance,Bucks
1626204,Larry Nance Jr.,Hawks
1629614,Andrew Nembhard,Pacers
1630174,Aaron Nesmith,Pacers
1641803,Tristen Newton,Timberwolves
1627777,Georges Niang,Hawks
1630192,Zeke Nnaji,Nuggets
1641936,Miles Norris,Celtics
203994,Jusuf Nurkić,Hornets
1626220,Royce O'Neale,Suns
1629643,Chuma Okeke,Sixers
1629006,Josh Okogie,Hornets
1630168,Onyeka Okongwu,Hawks
1630171,Isaac Okoro,Cavaliers
203482,Kelly Olynyk,Pelicans
1626162,Kelly Oubre Jr.,Sixers
101108,Chris Paul,Spurs
1626166,Cameron Payne,Knicks
203901,Elfrid Payton,Pelicans
1627780,Gary Payton II,Warriors
1641809,Drew Peterson,Celtics
1641763,Julian Phillips,Bulls
1629618,Jalen Pickett,Nuggets
1630590,Scotty Pippen Jr.,Grizzlies
1631342,Daeqwon Plowden,Hawks
203486,Mason Plumlee,Suns
1641764,Brandin Podziemski,Warriors
1627751,Jakob Poeltl,Raptors
1629673,Jordan Poole,Wizards
1641854,Craig Porter Jr.,Cavaliers
1629645,Kevin Porter Jr.,Bucks
1629008,Michael Porter Jr.,Nuggets
1626171,Bobby Portis,Bucks
204001,Kristaps Porziņģis,Celtics
1642366,Quinten Post,Warriors
1630695,Micah Potter,Jazz
203939,Dwight Powell,Mavericks
1626181,Norman Powell,Clippers
1627752,Taurean Prince,Bucks
1630202,Payton Pritchard,Celtics
1641765,Olivier-Maxence Prosper,Mavericks
1642389,Zyon Pullin,Grizzlies
1630243,Trevelin Queen,Magic
1629674,Neemias Queta,Celtics
1630193,Immanuel Quickley,Raptors
1631311,Lester Quinones,Pelicans
203944,Julius Randle,Timberwolves
1641871,Duop Reath,Blazers
1630559,Austin Reaves,Lakers
1629629,Cam Reddish,Lakers
1630194,Paul Reed,Pistons
1642024,Alex Reese,Sixers
1641810,Antonio Reeves,Pelicans
